UFVCE|2|B3|
UJDE|unico|A3|
UMCCX|unico|B3|
UCDBDM|unico|B4|
UHA|unico|A1|
UNCPA|unico|A1|
URZPVI|unico|B4|
UNPAR|1|A4|
UNPAR|2|A4|
VLUP|unico|A6|
VAPRM|unico|B3|
VCOPAS|unico|A6|
VIDPDV|unico|B4|
VEADA|unico|B2|
VEODAK|unico|B2|
VODPF|unico|B3|
VIESX|1|B2|
VIESX|2|B2|
VIERE|unico|A2|
VIATU|unico|A2|
VINJA|unico|A6|
VNMDE|1|A4|
VNMDE|2|A4|
VDESRL|unico|B3|
VOLTI|1|B2|
VOLTI|2|B2|
VIDTE|unico|A3|
ZOR|unico|A3|
APDUC|unico|A4|
ARAS|unico|A2|
ERK|unico|A4|
